identifier,subject_topical 1,subject_geographic 1,subject_geographic_authority 1,subject_geographic_URI 1,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority 2,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,object_in_context,type,date_text,date_single,date_end,date_qualifier,title,rights,repository,subject_geographic 2,collection,collection_identifier,record_source,file_url,record_creation_date
0012_003602_000240,39WW1,Mobridge Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2106,text,1969,1969,,,"Bass Field Notes, 39WW1, 1969","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000240/0012_003602_000240_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000251,39WW2,Larson Site,,,University of Kansas,,,University of Nebraska,,,Smithsonian Institution,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2117,text,"1966, 1979",1966,1979,,"Bass Field Notes, 39WW2, 1966, 1979","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000251/0012_003602_000251_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000270,MBP:  39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2134,text,1961 (summer),1961-22,,,"Bass Field Notes, MBP:  39SL4, 1961 (summer)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000270/0012_003602_000270_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000234,39SL4,Sully Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2100,text,1969-1970,1969,1970,,"Bass Field Notes, 39SL4, 1969-1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000234/0012_003602_000234_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000247,39WW2,Larson Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2113,text,1977 July,1977-07,,,"Bass Field Notes, 39WW2, 1977 July","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000247/0012_003602_000247_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000204,16IB3,Morton Shell Mound,,,Louisiana State University,,,University of Kansas,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2070,text,1970-1971,1970,1971,,"Bass Field Notes, 16IB3, 1970-1971","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Weeks Island, Louisiana",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000204/0012_003602_000204_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000230,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2096,text,1962,1962,,,"Bass Field Notes, 39SL4, 1962","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000230/0012_003602_000230_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000237,39SL4,Sully Site,,,University of Kansas,,,National Park Service,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2103,text,"1965, 1968, 1991",1965,1991,,"Bass Field Notes, 39SL4, 1965, 1968, 1991","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000237/0012_003602_000237_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000254,39WW2,Larson Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2120,text,1967,1967,,,"Bass Field Notes, 39WW2, 1967","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000254/0012_003602_000254_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000243,39WW1 (39CA4),Mobridge Site (Rygh Site),,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2109,text,1970,1970,,,"Bass Field Notes, 39WW1 (39CA4), 1970","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000243/0012_003602_000243_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000206,39CA4,Rygh Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2072,text,1964-1974,1964,1974,,"Bass Field Notes, 39CA4, 1964-1974","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000206/0012_003602_000206_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000216,39CO9,Leavenworth Village Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2082,text,1965 (circa),1965,,approximate,"Bass Field Notes, 39CO9, 1965 (circa)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Leavenworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000216/0012_003602_000216_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000226,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2092,text,1956-1958,1956,1958,,"Bass Field Notes, 39SL4, 1956-1958","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000226/0012_003602_000226_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000267,MBP:  39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2131,text,1968,1968,,,"Bass Field Notes, MBP:  39SL4, 1968","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000267/0012_003602_000267_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000213,39CA4 (39BF225-256),Rygh Site (Sitting Crow Site),,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2079,text,undated,,,,"Bass Field Notes, 39CA4 (39BF225-256), undated","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Buffalo County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000213/0012_003602_000213_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000250,39WW2,Larson Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2116,text,1966,1966,,,"Bass Field Notes, 39WW2, 1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000250/0012_003602_000250_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000202,14MD401,Meade Site,,,,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2068,text,1970 October 18,1970-10-18,,,"Bass Field Notes, 14MD401, 1970 October 18","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Fowler, Kansas",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000202/0012_003602_000202_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000214,39CA4 (39CO9),Rygh Site (Leavenworth Village Site),,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2080,text,undated,,,,"Bass Field Notes, 39CA4 (39CO9), undated","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Corson County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000214/0012_003602_000214_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000246,39WW2,Larson Site,,,University of Kansas,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2112,text,1966-1968,1966,1968,,"Bass Field Notes, 39WW2, 1966-1968","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections",South Dakota,Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000246/0012_003602_000246_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000209,39CA4,Rygh Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2075,text,1965-1966,1965,1966,,"Bass Field Notes, 39CA4, 1965-1966","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000209/0012_003602_000209_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000248,39WW2,Larson Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2114,text,1977 July,1977-07,,,"Bass Field Notes, 39WW2, 1977 July","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000248/0012_003602_000248_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000235,39SL4 (48NO201),Sully Site (Agate Basin Site),,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2101,text,"1958, 1961-1962",1958,1962,,"Bass Field Notes, 39SL4 (48NO201), 1958, 1961-1962","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota (Agate Basin, Wyoming)",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000235/0012_003602_000235_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000207,39CA4,Rygh Site,,,University of Idaho,,,University of Kansas,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2073,text,1964-1974,1964,1974,,"Bass Field Notes, 39CA4, 1964-1974","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000207/0012_003602_000207_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000272,MBP:  39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2136,text,1963 (summer),1963-22,,,"Bass Field Notes, MBP:  39SL4, 1963 (summer)","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Sully County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000272/0012_003602_000272_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000266,MBP:  39WW2,Larson Site,,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2130,text,1967,1967,,,"Bass Field Notes, MBP:  39WW2, 1967","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000266/0012_003602_000266_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000245,39WW2,Larson Site,,,University of Kansas,,,University of Nebraska,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2111,text,"1966-1967, 1976",1966,1976,,"Bass Field Notes, 39WW2, 1966-1967, 1976","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000245/0012_003602_000245_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000255,39WW2,Larson Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2121,text,1967,1967,,,"Bass Field Notes, 39WW2, 1967","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000255/0012_003602_000255_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000257,39WW2,Larson Site,,,University of Kansas,,,Smithsonian Institution,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2123,text,1973,1973,,,"Bass Field Notes, 39WW2, 1973","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Larson Cemetery, Walworth County, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000257/0012_003602_000257_0001.jpg.t.jpg,2015-01-08T02:57:30Z
0012_003602_000232,39SL4,Sully Site,,,Smithsonian Institution,,,,,,,,,http://digital.lib.utk.edu/mpds/?ckey=bass&iid=2098,text,1958,1958,,,"Bass Field Notes, 39SL4, 1958","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","Oahe Reservoir, South Dakota",Dr. William M. Bass III Collection, MS.3689,"The University of Tennessee Libraries, Knoxville",http://digital.lib.utk.edu/mpds/data/bass/0012_003602_000232/0012_003602_000232_0001.jpg.t.jpg,2015-01-08T02:57:30Z
